"Date and Time","NO<sub>2</sub>","O<sub>3</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-10-19 00:00:00",14.51,25.9,16.04,10.68
"2023-10-19 01:00:00",14.25,25.73,12.94,8.9
"2023-10-19 02:00:00",23.94,14.79,9.42,5.67
"2023-10-19 03:00:00",32.79,5.71,6.66,4.3
"2023-10-19 04:00:00",33.36,3.5,5.3,3.6
"2023-10-19 05:00:00",38.67,-0.31,5.69,3.97
"2023-10-19 06:00:00",35.01,2.65,8.68,4.3
"2023-10-19 07:00:00",43.22,-1.19,13.05,4.53
"2023-10-19 08:00:00",40.7,-1.02,17.15,6.31
"2023-10-19 09:00:00",52.47,-2.45,9.59,5.59
"2023-10-19 10:00:00",63.86,-0.33,9.02,4.5
"2023-10-19 11:00:00",54.26,8.06,10.93,4
"2023-10-19 12:00:00",45.26,14.52,9.77,3.59
"2023-10-19 13:00:00",59.44,18.86,9.34,5.03
"2023-10-19 14:00:00",65.08,25.25,7.38,4.04
"2023-10-19 15:00:00",79.52,16.65,16.11,8.82
"2023-10-19 16:00:00",60.91,24.05,11.89,7.79
"2023-10-19 17:00:00",82.95,6.83,7.92,5.42
"2023-10-19 18:00:00",78.36,0.97,12.26,8.61
"2023-10-19 19:00:00",75.4,0.74,11.86,8.04
"2023-10-19 20:00:00",64.62,3.89,9.78,7
"2023-10-19 21:00:00",54.99,10.16,11.66,8.05
"2023-10-19 22:00:00",43.09,14.81,9.5,6.14
"2023-10-19 23:00:00",50.58,11.65,9.25,5.41
"2023-10-20 00:00:00",32.62,25.45,8.65,5.08
"2023-10-20 01:00:00",15.94,38.86,9.22,4.95
"2023-10-20 02:00:00",9.35,45.86,8.27,4.03
"2023-10-20 03:00:00",16.43,35.85,8,4.09
"2023-10-20 04:00:00",40.09,12.85,7.14,4.06
"2023-10-20 05:00:00",48.2,5.35,6.92,4.24
"2023-10-20 06:00:00",53,1.2,7.39,4.46
"2023-10-20 07:00:00",48.92,3.52,8.36,4.85
"2023-10-20 08:00:00",56.52,-1.37,17.76,8.11
"2023-10-20 09:00:00",51.77,3.29,16.95,8.65
"2023-10-20 10:00:00",45.68,14.35,8.38,4.82
"2023-10-20 11:00:00",41.29,16.75,8.17,3.93
"2023-10-20 12:00:00",23.41,17.13,12.28,5.79
"2023-10-20 13:00:00",19.09,27.81,15.42,7.34
"2023-10-20 14:00:00",23.05,29.52,15.07,7.12
"2023-10-20 15:00:00",30.98,23.12,16.14,8.15
"2023-10-20 16:00:00",23.42,30.38,16.99,8.1
"2023-10-20 17:00:00",27.52,32.37,15.75,7.48
"2023-10-20 18:00:00",21.61,35.65,14.45,7.73
"2023-10-20 19:00:00",16.13,39.57,17.04,8.3
"2023-10-20 20:00:00",17.37,38.53,16.62,7.36
"2023-10-20 21:00:00",21.97,33.98,21.29,8.45
"2023-10-20 22:00:00",18.71,38.63,19.09,7.41
"2023-10-20 23:00:00",20.46,34.12,16.2,6.36
"2023-10-21 00:00:00",17.37,36.65,18.51,6.57
"2023-10-21 01:00:00",12.71,40.98,16.34,5.99
"2023-10-21 02:00:00",10.28,40.58,13.15,4.91
"2023-10-21 03:00:00",8.97,39.46,13.55,4.74
"2023-10-21 04:00:00",6.91,37.54,10.21,4.12
"2023-10-21 05:00:00",7.98,34.35,5.07,2.85
"2023-10-21 06:00:00",15.57,26.06,5.68,2
"2023-10-21 07:00:00",25.96,17.32,5.5,2.08
"2023-10-21 08:00:00",35.87,11.18,5.41,2.21
"2023-10-21 09:00:00",36.61,12.78,8.32,2.9
"2023-10-21 10:00:00",39.13,10.92,8.04,3.63
"2023-10-21 11:00:00",28.6,19.29,8.56,4.25
"2023-10-21 12:00:00",25.14,22.49,10.42,4.19
"2023-10-21 13:00:00",26.02,20.69,7.9,3.56
"2023-10-21 14:00:00",48.81,12.6,5.9,3.3
"2023-10-21 15:00:00",43.05,10.65,9.86,4.98
"2023-10-21 16:00:00",41.55,12.25,8.66,4.24
"2023-10-21 17:00:00",50.92,5.85,13.34,7.22
"2023-10-21 18:00:00",58.86,-0.12,15.08,8.57
"2023-10-21 19:00:00",48.33,2.46,22.55,14.59
"2023-10-21 20:00:00",42.78,6.86,16.32,10.61
"2023-10-21 21:00:00",39.08,8.15,17.11,11.32
"2023-10-21 22:00:00",39.34,6.5,15.54,10.03
"2023-10-21 23:00:00",40.6,6.79,12.57,8.66
"2023-10-22 00:00:00",31.76,11.81,10.42,6.71
"2023-10-22 01:00:00",30.73,11.97,10.08,6.22
"2023-10-22 02:00:00",30,12.15,8.27,5.1
"2023-10-22 03:00:00",23.75,16.69,7.25,4.56
"2023-10-22 04:00:00",22.36,14.24,7.03,4.02
"2023-10-22 05:00:00",16.96,15.81,6.25,3.6
"2023-10-22 06:00:00",19.15,15.07,5.73,3.14
"2023-10-22 07:00:00",35.71,-0.23,7.76,4.42
"2023-10-22 08:00:00",44.67,-2.51,9.9,4.84
"2023-10-22 09:00:00",51.21,-1.51,11.99,5.64
"2023-10-22 10:00:00",59.27,1.13,12.87,6.55
"2023-10-22 11:00:00",50.72,11.84,10.23,5.53
"2023-10-22 12:00:00",49.11,20.07,7.63,3.37
"2023-10-22 13:00:00",51.23,18.02,8.2,3.86
"2023-10-22 14:00:00",36.6,28.69,7.71,3.48
"2023-10-22 15:00:00",37.3,28.93,7.57,3.59
"2023-10-22 16:00:00",38.99,26.06,10.31,4.41
"2023-10-22 17:00:00",59.75,12.22,11.66,5.07
"2023-10-22 18:00:00",62.89,7.14,14.16,7
"2023-10-22 19:00:00",62.32,0.44,18.3,11.62
"2023-10-22 20:00:00",53.47,3.55,17.79,12.09
"2023-10-22 21:00:00",52.36,10.49,12.69,7.22
"2023-10-22 22:00:00",52.18,10.41,10.02,6.16
"2023-10-22 23:00:00",42.7,14.65,12.22,8.63
"2023-10-23 00:00:00",37.02,15.22,8.33,5.4
"2023-10-23 01:00:00",18.31,32.12,5.44,3.54
"2023-10-23 02:00:00",9.48,46.56,7.63,3.77
"2023-10-23 03:00:00",10.37,52.81,8.69,4.21
"2023-10-23 04:00:00",9.23,52.36,10.95,5.46
"2023-10-23 05:00:00",21.5,43.17,12.19,5.87
"2023-10-23 06:00:00",47.69,28.57,13.75,6.59
"2023-10-23 07:00:00",54.86,17.53,13.3,6.48
"2023-10-23 08:00:00",62.22,12.84,15.19,6.85
"2023-10-23 09:00:00",57.04,12.59,17.12,7.45
"2023-10-23 10:00:00",51.96,19.1,14.09,6.59
"2023-10-23 11:00:00",40.12,27.31,17.52,6.69
"2023-10-23 12:00:00",41.73,25.38,19.44,7.21
"2023-10-23 13:00:00",43.98,26.04,18.39,7.24
"2023-10-23 14:00:00",37.92,26.24,16.83,6.51
"2023-10-23 15:00:00",45.35,19.71,16.92,8.1
"2023-10-23 16:00:00",64.43,8.6,20.41,10.19
"2023-10-23 17:00:00",64.27,13.56,22.39,10.15
"2023-10-23 18:00:00",53.91,20.14,22.51,10.19
"2023-10-23 19:00:00",45.12,25.31,15.68,7.56
"2023-10-23 20:00:00",56.84,16.9,8.49,5.22
"2023-10-23 21:00:00",59.24,16.53,8.66,5.33
"2023-10-23 22:00:00",49.58,24.19,10.33,5.23
"2023-10-23 23:00:00",36.43,31.91,6.04,3.46
"2023-10-24 00:00:00",23.77,45.81,5.68,2.95
"2023-10-24 01:00:00",7.65,59.72,10.31,4.13
"2023-10-24 02:00:00",6.58,63.71,10.3,4.17
"2023-10-24 03:00:00",8.71,62.54,8.89,3.06
"2023-10-24 04:00:00",15.92,50.51,9.88,3.27
"2023-10-24 05:00:00",19.75,50.27,7.94,3.16
"2023-10-24 06:00:00",50.71,21.97,5.71,2.72
"2023-10-24 07:00:00",69.78,2.99,8.34,3.34
"2023-10-24 08:00:00",85.95,1.74,12.68,5.17
"2023-10-24 09:00:00",91.53,2.7,15.48,6.42
"2023-10-24 10:00:00",82.36,7.27,15.35,6.81
"2023-10-24 11:00:00",65.42,18.36,8.15,3.57
"2023-10-24 12:00:00",56.09,28.75,8.72,3.65
"2023-10-24 13:00:00",60.07,21.34,8.54,3.4
"2023-10-24 14:00:00",56.59,19.72,11.02,5.06
"2023-10-24 15:00:00",81.77,6.17,10.41,5.01
"2023-10-24 16:00:00",68.79,15.48,10.11,5.32
"2023-10-24 17:00:00",94.66,0.8,10.02,5.17
"2023-10-24 18:00:00",93.31,-1.76,12.66,8.08
"2023-10-24 19:00:00",71.17,-0.79,13.22,9.42
"2023-10-24 20:00:00",68.59,0.34,14.48,10.68
"2023-10-24 21:00:00",61.87,2.8,11.43,8.19
"2023-10-24 22:00:00",57.43,1.78,10.56,7.59
"2023-10-24 23:00:00",69.58,-2.92,15.08,10.51
"2023-10-25 00:00:00",60.61,-2.73,16.55,12.65
"2023-10-25 01:00:00",50.19,-2.26,17.23,14.53
"2023-10-25 02:00:00",42.75,-2.71,20.11,17.32
"2023-10-25 03:00:00",44,-2.79,17.59,15.37
"2023-10-25 04:00:00",42.43,-2.44,15.17,12.86
"2023-10-25 05:00:00",49.11,-2.67,10.95,9.21
"2023-10-25 06:00:00",61.18,-2.24,13.78,10.74
"2023-10-25 07:00:00",67.54,-2.44,12.78,9.55
"2023-10-25 08:00:00",85.66,-2.38,19.97,13.54
"2023-10-25 09:00:00",78.1,-2.42,34.1,20.16
"2023-10-25 10:00:00",100.56,-2.48,35.51,21.25
"2023-10-25 11:00:00",88.68,0.97,24.34,15.29
"2023-10-25 12:00:00",56.33,14.89,13.96,10.74
"2023-10-25 13:00:00",43.35,28.57,11.71,8.03
"2023-10-25 14:00:00",51.05,23.54,13.61,7.79
"2023-10-25 15:00:00",74.2,10.06,19.57,9.13
"2023-10-25 16:00:00",57.21,19.34,13.23,8.05
"2023-10-25 17:00:00",73.89,7.1,15.66,8.96
"2023-10-25 18:00:00",95.12,-0.39,17.03,9.07
"2023-10-25 19:00:00",90.17,-0.18,19.22,10.34
"2023-10-25 20:00:00",64.23,11.26,16.04,8.16
"2023-10-25 21:00:00",60.97,11.4,10.28,5.72
"2023-10-25 22:00:00",48.52,24.11,10.31,5.88
"2023-10-25 23:00:00",34.45,32.98,8.58,4.82
"2023-10-26 00:00:00",20.64,44.32,8.52,4.87
"2023-10-26 01:00:00",10.86,47.05,8.05,5.41
"2023-10-26 02:00:00",11.95,46.53,3.17,2.33
"2023-10-26 03:00:00",9.98,48.12,2.17,1.48
"2023-10-26 04:00:00",18.58,41.98,1.55,0.85
"2023-10-26 05:00:00",32.24,25.15,2.46,1.19
"2023-10-26 06:00:00",71.81,-2,5.49,3.42
"2023-10-26 07:00:00",82.95,-2.24,7.49,4.15
"2023-10-26 08:00:00",87.07,-2.39,14.53,7.37
"2023-10-26 09:00:00",92.07,-2.93,17.14,8.83
"2023-10-26 10:00:00",73.99,0.25,11.74,5.46
"2023-10-26 11:00:00",58.91,7.16,12.86,5.39
"2023-10-26 12:00:00",54.54,10.44,13.34,5.62
"2023-10-26 13:00:00",59.58,8.53,18.07,6.68
"2023-10-26 14:00:00",57.66,11.71,17.66,6.45
"2023-10-26 15:00:00",74.14,4.69,15.5,5.62
"2023-10-26 16:00:00",80.57,0.53,13.84,6.01
"2023-10-26 17:00:00",83.81,-0.02,15.68,7.27
"2023-10-26 18:00:00",77.14,-1.08,13.49,7.91
"2023-10-26 19:00:00",72.46,1.22,16.3,10.58
"2023-10-26 20:00:00",62.97,-0.27,17.94,10.5
"2023-10-26 21:00:00",55.84,12.87,10.36,7.36
"2023-10-26 22:00:00",51.81,11.78,10.79,6.44
"2023-10-26 23:00:00",31.32,25.68,10.5,5.06
"2023-10-27 00:00:00",35.58,20.02,9.76,5.74
"2023-10-27 01:00:00",52.65,-2.02,12.16,7.91
"2023-10-27 02:00:00",49.5,-2.23,12.08,6.88
"2023-10-27 03:00:00",49.15,-2.26,12.16,7.42
"2023-10-27 04:00:00",39.77,-1.45,7.64,4.47
"2023-10-27 05:00:00",43.19,-2.53,10.39,5.54
"2023-10-27 06:00:00",65.41,-2.52,12.66,6.41
"2023-10-27 07:00:00",82.99,-2.79,19.87,7.67
"2023-10-27 08:00:00",89.51,-2.74,25.31,9.25
"2023-10-27 09:00:00",86.95,-1.91,29.36,9.3
"2023-10-27 10:00:00",76.56,1.68,22.42,6.67
"2023-10-27 11:00:00",57.45,15.58,17.72,5.97
"2023-10-27 12:00:00",54.42,19.36,19.68,7
"2023-10-27 13:00:00",45.72,23.51,17.55,6.98
"2023-10-27 14:00:00",50.19,20.36,16.04,6.68
"2023-10-27 15:00:00",65.05,18.95,14.78,6.24
"2023-10-27 16:00:00",73.89,9.95,10.77,4.96
"2023-10-27 17:00:00",83.69,4.47,12.45,6.04
"2023-10-27 18:00:00",85.86,0.66,21.96,10.19
"2023-10-27 19:00:00",72.4,5.17,22.88,11.64
"2023-10-27 20:00:00",61.27,13.49,13.23,8.56
"2023-10-27 21:00:00",66.84,14.81,12.61,8.5
"2023-10-27 22:00:00",49.58,21.95,8.27,5.18
"2023-10-27 23:00:00",44.13,29.16,11.52,6.96
"2023-10-28 00:00:00",34.5,33.34,11.35,5.74
"2023-10-28 01:00:00",42.74,21.38,10.6,4.82
"2023-10-28 02:00:00",32.89,21.76,7.36,4.15
"2023-10-28 03:00:00",31.75,19.96,7.13,3.78
"2023-10-28 04:00:00",20.05,32.51,7.01,4.26
"2023-10-28 05:00:00",26.05,26,6.76,3.4
"2023-10-28 06:00:00",32.13,23.58,4.79,2.65
"2023-10-28 07:00:00",45.68,17.86,5.02,2.89
"2023-10-28 08:00:00",40.09,28.45,5.58,3.09
"2023-10-28 09:00:00",57.84,18.09,7.04,3.58
"2023-10-28 10:00:00",53.79,16.12,7.67,4.21
"2023-10-28 11:00:00",47.54,16.25,10.78,5.42
"2023-10-28 12:00:00",38.94,24.85,14.36,6.02
"2023-10-28 13:00:00",47.48,17.84,17.3,6.94
"2023-10-28 14:00:00",49.03,23.07,16.81,7.33
"2023-10-28 15:00:00",39.32,25.83,14.63,6.5
"2023-10-28 16:00:00",56.27,22.13,20.47,9.19
"2023-10-28 17:00:00",67.79,17.1,16.9,9.47
"2023-10-28 18:00:00",51.95,29.16,24.77,12.8
"2023-10-28 19:00:00",47.61,24.76,15.82,9.47
"2023-10-28 20:00:00",31.54,39.71,16.4,8.71
"2023-10-28 21:00:00",42.76,25.78,14.32,7.5
"2023-10-28 22:00:00",20.21,46.11,8.7,4.74
"2023-10-28 23:00:00",22.2,41.1,10.71,5.35
"2023-10-29 00:00:00",18.99,41.23,10.91,5.18
"2023-10-29 00:01:00",,,,
"2023-10-29 01:01:00",,,,
"2023-10-29 02:00:00",15.93,46.25,3.37,2.13
"2023-10-29 03:00:00",23.58,39.85,3.57,1.73
"2023-10-29 04:00:00",16.36,43.45,2.31,1.35
"2023-10-29 05:00:00",17.91,42.41,2.15,1.24
"2023-10-29 06:00:00",20.78,38.84,1.97,1.19
"2023-10-29 07:00:00",42.96,15.61,3.05,1.69
"2023-10-29 07:01:00",,,,
"2023-10-29 08:01:00",,,,
"2023-10-29 17:00:00",65.05,2.95,7.75,5.27
"2023-10-29 18:00:00",60.99,7.11,6.36,4.26
"2023-10-29 19:00:00",63.24,-0.64,7.43,5.18
"2023-10-29 20:00:00",70.67,-1.87,18.43,15.3
"2023-10-29 21:00:00",64.27,-2.56,24.78,21.41
"2023-10-29 22:00:00",64.16,-2.58,34.57,30.74
"2023-10-29 23:00:00",61.99,-2.25,48.89,44.2
"2023-10-30 00:00:00",60.94,-2.08,53.71,49.44
"2023-10-30 01:00:00",50.36,-1.93,42.96,38.79
"2023-10-30 02:00:00",48.51,-2.31,36.88,34.02
"2023-10-30 03:00:00",47.28,-2.45,30.38,27.11
"2023-10-30 04:00:00",38.89,-2.7,25.22,22.45
"2023-10-30 05:00:00",34.22,-2.63,21.51,19.06
"2023-10-30 06:00:00",37.8,-2.44,18.62,16.27
"2023-10-30 07:00:00",35.95,-2.39,15.85,13.91
"2023-10-30 08:00:00",39.56,-2.53,18.48,14.98
"2023-10-30 09:00:00",53.55,-2.31,18.65,15.31
"2023-10-30 10:00:00",64.64,-2.33,25.48,20.04
"2023-10-30 11:00:00",73.24,-2.11,20.89,16.16
"2023-10-30 12:00:00",51.67,4.71,8.95,5.66
"2023-10-30 13:00:00",50.94,5.16,10.11,5.6
"2023-10-30 14:00:00",52.75,7.3,8.45,4.5
"2023-10-30 15:00:00",59.24,8.58,7.15,3.86
"2023-10-30 16:00:00",41.41,24.9,8.14,3.8
"2023-10-30 17:00:00",55.15,16,8.59,4.19
"2023-10-30 18:00:00",33.73,28.96,9.07,4.7
"2023-10-30 19:00:00",53.07,10.61,15.87,9.86
"2023-10-30 20:00:00",60.16,2.63,19.79,14.92
"2023-10-30 21:00:00",66.73,-0.49,19.28,15.37
"2023-10-30 22:00:00",67.47,-0.54,21.2,14.47
"2023-10-30 23:00:00",59.55,-2.04,27.13,22.4